Outcome 2 Result 2b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
Notes
48474 patients in Cohort 1 and 137931 patients in Cohort 2 were excluded because they met the index event more than 20 years ago.
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
67,0.9948792617636338,0.9946927290147766,0.9950592548075012,0.9925945812951912,0.992510431540466,0.9926777890691574
68,0.9948503927812655,0.9946633194034641,0.9950309248335281,0.9925512556032373,0.9924668404171849,0.9926347283626279
69,0.9948016491451025,0.9946136660927695,0.9949830881478928,0.9924970515221344,0.9924123051779121,0.9925808548836937
70,0.9947510705416552,0.9945621478201935,0.994933446411393,0.9924240794027128,0.9923388889222683,0.9925083261571945
71,0.9947203374923173,0.994530845696304,0.9949032807327873,0.992373298534801,0.992287800063674,0.9924578527651648
72,0.9946678651323386,0.9944774049438306,0.9948517738511934,0.9923333257840846,0.992247585345633,0.9924181215747383
73,0.9946207870343439,0.9944294617039685,0.9948055582942834,0.9922965782428398,0.9922106157486423,0.9923815957142267
74,0.9945845508817567,0.9943925619921262,0.9947699837072508,0.9922505346275656,0.9921642944863768,0.992335829276323
75,0.9945410418186474,0.9943482588446978,0.9947272663435528,0.9922129051422618,0.9921264385826898,0.9922984258261086
76,0.9944920660905059,0.9942983927897139,0.9946791782760135,0.9921749711418026,0.9920882767562652,0.9922607192652789
77,0.99444487501281,0.9942503472951201,0.9946328390625307,0.9921154261833958,0.9920283751117345,0.9922015303884167
78,0.994406732339715,0.9942115163761539,0.9945953825763059,0.9920741414123683,0.9919868436771412,0.9921604918626158
79,0.9943740098113509,0.9941782048727833,0.994563247247445,0.9920341727970405,0.991946636637816,0.9921207612643668
80,0.9943521799061935,0.9941559827961406,0.9945418083245813,0.9919971784169062,0.9919094219483474,0.9920839868162526
81,0.9943157752184636,0.9941189255134538,0.9945060542464951,0.9919464393704001,0.9918583814081736,0.9920335487468196
82,0.9942848132662727,0.9940874099693592,0.9944756441995162,0.9918995018417232,0.991811165693429,0.9919868889280281
83,0.9942538334385841,0.9940558775140885,0.9944452153117318,0.9918530761481925,0.9917644655139278,0.991940737250928
84,0.9942064254150405,0.994007626412278,0.9943986477928332,0.9917953396195516,0.9917063885633088,0.991883340562779
85,0.9941662844307401,0.9939667739992499,0.9943592160654355,0.9917504800343764,0.9916612651397337,0.9918387443649626
86,0.9941279363655968,0.9939277481623574,0.9943215436926292,0.991710797096174,0.9916213491675947,0.9917992940597552
87,0.9941041802431935,0.9939035730581962,0.9942982052600245,0.9916738322098685,0.9915841675480543,0.9917625455324056
88,0.9940584666534145,0.993857055259974,0.9942532933934196,0.9916362829675811,0.9915463985061916,0.9917252157092965
